AN,K 1s,L1 2s,L2 2p1/2,L3 2p3/2,M1 3s,M2 3p1/2,M3 3p3/2,M4 3d3/2,M5 3d5/2,N1 4s,N2 4p1/2,N3 4p3/2
1.0,13.6,,,,,,,,,,,
2.0,24.6,24.6,,,,,,,,,,
3.0,54.7,54.7,,,,,,,,,,
4.0,111.5,111.5,,,,,,,,,,
5.0,188.0,188.0,,,,,,,,,,
6.0,284.2,284.2,,,,,,,,,,
7.0,409.9,37.3,,,,,,,,,,
8.0,543.1,41.6,,,,,,,,,,
9.0,696.7,696.7,,,,,,,,,,
10.0,870.2,48.5,21.7,21.6,,,,,,,,
11.0,1070.8,63.5,30.65,30.81,,,,,,,,
12.0,1303.0,88.7,49.78,49.5,,,,,,,,
13.0,1559.6,117.8,72.95,72.55,,,,,,,,
14.0,1839.0,149.7,99.82,99.42,,,,,,,,
15.0,2145.5,189.0,136.0,135.0,,,,,,,,
16.0,2472.0,230.9,163.6,162.5,,,,,,,,
17.0,2822.4,270.0,202.0,200.0,,,,,,,,
18.0,3205.9,326.3,250.6,248.4,29.3,15.9,15.7,,,,,
19.0,3608.4,378.6,297.3,294.6,34.8,18.3,18.3,,,,,
20.0,4038.5,438.4,349.7,346.2,44.3,25.4,25.4,,,,,
21.0,4492.0,498.0,403.6,398.7,51.1,28.3,28.3,,,,,
22.0,4966.0,560.9,460.2,453.8,58.7,32.6,32.6,,,,,
48.0,26711.0,4018.0,3727.0,3538.0,772.0,652.6,618.4,411.9,405.2,109.8,63.9,63.9
49.0,27940.0,4238.0,3938.0,3730.0,827.2,703.2,665.3,451.4,443.9,122.9,73.5,73.5
50.0,29200.0,4465.0,4156.0,3929.0,884.7,756.5,714.6,493.2,484.9,137.1,83.6,83.6
51.0,30491.0,4698.0,4380.0,4132.0,946.0,812.7,766.4,537.5,528.2,153.2,95.6,95.6
52.0,31814.0,4939.0,4612.0,4341.0,1006.0,870.8,820.0,583.4,573.0,169.4,103.3,103.3
53.0,33169.0,5188.0,4852.0,4557.0,1072.0,931.0,875.0,630.8,619.3,186.0,123.0,123.0
