 !Structure factor in RPA
 !=======================
 !
 !Plasma density [r_s]:
 !   4.0000000000000000     
 !Temperature [theta]:
 !  0.10000000000000001     
 !w start [ryd]:
 !   1.0000000000000001E-005
 !w end [ryd]:
 !   150.00000000000000     
 !w points:
 !        1000
 !q start [1/a_B]:
 !   5.0000000000000000     
 !q end [1/a_B]:
 !   20.000000000000000     
 !q points:
 !           1
 !   2.5172579932396904E+022  0.22827605132869175        3634.4609603460467     
!        w[ryd]         w/w_pl       q[1/a_B]           q/qf    SRPA(q,tau)    SLFC(q,tau)           G(q)
! Library RPA_LIB version 2.0 is initialized.
  1.0000000E-05  2.3094011E-05  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.5000999E-01  3.4643323E-01  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  3.0000998E-01  6.9284337E-01  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  4.5000997E-01  1.0392535E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  6.0000996E-01  1.3856636E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  7.5000995E-01  1.7320738E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  9.0000994E-01  2.0784839E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.0500099E+00  2.4248941E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.2000099E+00  2.7713042E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.3500099E+00  3.1177143E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.5000099E+00  3.4641245E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.6500099E+00  3.8105346E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.8000099E+00  4.1569448E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  1.9500099E+00  4.5033549E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  2.1000099E+00  4.8497650E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  2.2500099E+00  5.1961752E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  2.4000098E+00  5.5425853E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  2.5500098E+00  5.8889954E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  2.7000098E+00  6.2354056E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  2.8500098E+00  6.5818157E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  3.0000098E+00  6.9282259E+00  5.0000000E+00  1.0421235E+01  0.0000000E+00  0.0000000E+00  9.4579243E-01
  3.1500098E+00  7.2746360E+00  5.0000000E+00  1.0421235E+01  2.4084022E-88  2.4098023E-88  9.4579243E-01
  3.3000098E+00  7.6210461E+00  5.0000000E+00  1.0421235E+01  4.1264358E-87  4.1288385E-87  9.4579243E-01
  3.4500098E+00  7.9674563E+00  5.0000000E+00  1.0421235E+01  6.9329218E-86  6.9369656E-86  9.4579243E-01
  3.6000098E+00  8.3138664E+00  5.0000000E+00  1.0421235E+01  1.1422276E-84  1.1428950E-84  9.4579243E-01
  3.7500098E+00  8.6602766E+00  5.0000000E+00  1.0421235E+01  1.8453729E-83  1.8464532E-83  9.4579243E-01
  3.9000097E+00  9.0066867E+00  5.0000000E+00  1.0421235E+01  2.9235517E-82  2.9252665E-82  9.4579243E-01
  4.0500097E+00  9.3530968E+00  5.0000000E+00  1.0421235E+01  4.5418474E-81  4.5445170E-81  9.4579243E-01
  4.2000097E+00  9.6995070E+00  5.0000000E+00  1.0421235E+01  6.9190974E-80  6.9231729E-80  9.4579243E-01
  4.3500097E+00  1.0045917E+01  5.0000000E+00  1.0421235E+01  1.0336214E-78  1.0342316E-78  9.4579243E-01
  4.5000097E+00  1.0392327E+01  5.0000000E+00  1.0421235E+01  1.5141492E-77  1.5150451E-77  9.4579243E-01
  4.6500097E+00  1.0738737E+01  5.0000000E+00  1.0421235E+01  2.1750587E-76  2.1763487E-76  9.4579243E-01
  4.8000097E+00  1.1085148E+01  5.0000000E+00  1.0421235E+01  3.0638566E-75  3.0656782E-75  9.4579243E-01
  4.9500097E+00  1.1431558E+01  5.0000000E+00  1.0421235E+01  4.2321497E-74  4.2346724E-74  9.4579243E-01
  5.1000097E+00  1.1777968E+01  5.0000000E+00  1.0421235E+01  5.7325619E-73  5.7359878E-73  9.4579243E-01
  5.2500096E+00  1.2124378E+01  5.0000000E+00  1.0421235E+01  7.6143285E-72  7.6188915E-72  9.4579243E-01
  5.4000096E+00  1.2470788E+01  5.0000000E+00  1.0421235E+01  9.9176690E-71  9.9236289E-71  9.4579243E-01
  5.5500096E+00  1.2817198E+01  5.0000000E+00  1.0421235E+01  1.2667262E-69  1.2674896E-69  9.4579243E-01
  5.7000096E+00  1.3163608E+01  5.0000000E+00  1.0421235E+01  1.5865399E-68  1.5874990E-68  9.4579243E-01
  5.8500096E+00  1.3510018E+01  5.0000000E+00  1.0421235E+01  1.9485628E-67  1.9497443E-67  9.4579243E-01
  6.0000096E+00  1.3856429E+01  5.0000000E+00  1.0421235E+01  2.3467830E-66  2.3482105E-66  9.4579243E-01
