,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.19,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.19,1.5142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.19,1.7785714285714285,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.19,2.0428571428571427,2.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.19,2.307142857142857,3.3280000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.19,2.5714285714285716,3.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.19,2.8357142857142854,4.156000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.19,3.1,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.19,3.1,4.57,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.19,3.1,4.57,6.957142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.19,3.1,4.57,7.314285714285714,8.7,0,0,0,0,0,0,0,0,0,0,0,0
14,0.19,3.1,4.57,7.671428571428571,9.139999999999999,0,0,0,0,0,0,0,0,0,0,0,0
15,0.19,3.1,4.57,8.028571428571428,9.58,0,0,0,0,0,0,0,0,0,0,0,0
16,0.19,3.1,4.57,8.385714285714286,10.02,0,0,0,0,0,0,0,0,0,0,0,0
17,0.19,3.1,4.57,8.742857142857142,10.46,0,0,0,0,0,0,0,0,0,0,0,0
18,0.19,3.1,4.57,9.1,10.9,0,0,0,0,0,0,0,0,0,0,0,0
19,0.19,3.1,4.57,9.1,10.9,0,13.4,0,0,0,0,0,0,0,0,0,0
20,0.19,3.1,4.57,9.1,10.9,0,13.9,0,0,0,0,0,0,0,0,0,0
21,0.19,3.1,4.57,9.28,11.13,14.7,14.66,0,0,0,0,0,0,0,0,0,0
